City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,liwa,24.5361,56.5656,25.01,41,0,1.54,OM,1741373556
158,bonthe,7.5264,-12.505,25.33,72,14,4.84,SL,1741373557
159,akjoujt,19.6969,-14.4164,27.32,13,0,4.96,MR,1741373558
160,sodra sandby,56.5667,16.6167,8.27,71,1,3.31,SE,1741373559
161,bousse,12.6606,-1.8922,35.61,24,81,1.42,BF,1741373561
162,alofi,-19.0595,-169.9187,26.94,83,20,3.6,NU,1741373562
163,polygyros,40.3744,23.4383,10.92,62,0,1.57,GR,1741373563
164,candido de abreu,-24.5669,-51.3333,29.15,51,91,0.74,BR,1741373564
165,fortuna,40.5982,-124.1573,13.32,69,64,0.45,US,1741373565
166,port elizabeth,-33.918,25.5701,21.29,91,100,1.03,ZA,1741373566
167,alotau,-10.3069,150.4462,25.53,89,98,2.01,PG,1741373567
168,roswell,34.0232,-84.3616,18.48,27,75,4.12,US,1741373568
169,sur,22.5667,59.5289,25.72,34,0,3.51,OM,1741373569
170,teknaf,20.8624,92.3058,19.09,65,6,2.21,BD,1741373570
171,vilyuchinsk,52.9306,158.4028,-5.85,78,100,5.99,RU,1741373571
172,stanley,54.868,-1.6985,8.62,96,75,0.51,GB,1741373572
173,idri,27.5,13.2667,19.97,54,100,6.18,LY,1741373574
174,sinabang,2.4803,96.3801,26.36,87,100,5.8,ID,1741373575
175,mata-utu,-13.2816,-176.1745,24.99,88,100,2.67,WF,1741373576
176,taltal,-25.4,-70.4833,22.31,71,26,4.32,CL,1741373577
177,invercargill,-46.4,168.35,11.68,93,100,2.24,NZ,1741373578
178,wanning,18.8003,110.3967,16.79,92,100,4.38,CN,1741373579
179,fale old settlement,-9.3852,-171.2468,26.14,83,100,3.15,TK,1741373580
180,lerwick,60.1545,-1.1494,6.84,73,100,1.86,GB,1741373581
181,kristiansund,63.1115,7.732,6.74,75,40,14.92,NO,1741373582
182,isiro,2.7739,27.616,25.02,59,100,1.38,CD,1741373583
183,courtenay,49.6866,-124.9936,8.11,81,100,9.77,CA,1741373584
184,la ronge,55.1001,-105.2842,0.14,59,100,6.17,CA,1741373585
185,zykovo,55.9519,93.1461,-8.94,96,92,2.1,RU,1741373587
186,minas de marcona,-15.2119,-75.1103,23.11,56,4,8.9,PE,1741373588
187,guelmim,28.987,-10.0574,18.19,45,75,6.17,MA,1741373589
188,portel,-1.9356,-50.8211,25.92,86,100,2.35,BR,1741373590
189,laascaanood,8.4774,47.3597,25.45,52,78,6.89,SO,1741373591
190,pfronten,47.5833,10.5667,7.08,76,11,1.96,DE,1741373593
191,calabozo,8.9242,-67.4293,36.83,28,100,2.99,VE,1741373594
192,belyy yar,53.6039,91.3903,-9.06,79,100,0.0,RU,1741373595
193,hell-ville,-13.4,48.2667,25.83,89,100,10.99,MG,1741373596
194,colonia,50.9333,6.95,14.97,45,0,2.06,DE,1741373598
195,port augusta,-32.5,137.7667,25.28,29,8,2.58,AU,1741373599
196,ha long,20.9511,107.08,15.1,75,100,2.22,VN,1741373600
197,am timan,11.0297,20.2827,32.25,13,99,2.34,TD,1741373601
198,st. john's,47.5649,-52.7093,8.42,97,100,13.38,CA,1741373602
199,vernon,50.2581,-119.2691,4.96,61,98,0.51,CA,1741373403
200,mariehamn,60.0973,19.9348,3.92,81,0,3.09,AX,1741373604
201,naze,28.3667,129.4833,14.51,75,100,2.58,JP,1741373605
202,tongliao,43.6125,122.2653,-2.5,64,100,5.27,CN,1741373607
203,mount pearl,47.5166,-52.7813,7.96,97,100,13.38,CA,1741373609
204,buka,40.8108,69.1986,5.16,78,79,3.58,UZ,1741373610
205,mountain home,43.133,-115.6912,8.34,53,20,7.72,US,1741373611
206,jiazi,22.8779,116.067,12.94,81,79,4.27,CN,1741373612
207,touros,-5.1989,-35.4608,29.38,64,100,6.53,BR,1741373613
208,yanaul,56.2719,54.9309,-2.63,90,100,2.36,RU,1741373614
209,zhangye,38.9342,100.4517,1.43,30,0,2.83,CN,1741373615
210,karratha,-20.7377,116.8463,32.56,43,80,1.61,AU,1741373616
211,greenland,43.0362,-70.8328,5.68,37,20,11.32,US,1741373617
212,kargasok,59.0556,80.8572,-3.21,98,100,0.28,RU,1741373618
213,horta,38.5333,-28.6333,11.12,63,40,8.75,PT,1741373619
214,palikir - national government center,6.9248,158.1611,27.74,78,20,1.34,FM,1741373620
215,kyaikto,17.3,97.0167,24.99,59,52,1.44,MM,1741373622
216,alice springs,-23.7,133.8833,20.75,24,9,0.0,AU,1741373623
217,yadrin,55.9405,46.2062,0.78,82,100,7.62,RU,1741373624
218,port saint john's,-31.6229,29.5448,24.36,86,81,0.96,ZA,1741373625
219,minbu,20.1833,94.8833,21.92,45,17,2.41,MM,1741373626
220,tukrah,32.5341,20.5791,15.98,72,100,0.41,LY,1741373627
221,chandia,23.65,80.7,19.39,17,0,2.11,IN,1741373628
222,anloga,5.7947,0.8973,28.38,84,100,6.17,GH,1741373629
223,kuta,-8.7233,115.1723,27.97,94,20,0.51,ID,1741373630
224,prince rupert,54.3161,-130.3201,6.83,87,100,19.55,CA,1741373631
225,walvis bay,-22.9575,14.5053,27.53,50,20,4.63,NA,1741373632
226,chimoio,-19.1164,33.4833,22.92,100,75,4.63,MZ,1741373633
227,takoradi,4.8845,-1.7554,28.26,80,79,4.72,GH,1741373635
228,sitka,57.0531,-135.33,7.94,66,100,6.69,US,1741373636
229,bamboo flat,11.7,92.7167,25.05,78,20,1.03,IN,1741373637
230,ulysses,37.5814,-101.3552,11.02,40,0,8.23,US,1741373638
231,mugia,43.1041,-9.2179,12.17,85,100,13.07,ES,1741373639
232,bereznik,62.8551,42.7072,-3.22,92,96,4.08,RU,1741373640
233,pirallahi,40.4723,50.333,11.08,67,100,6.88,AZ,1741373641
234,dakhla,23.6848,-15.958,19.01,77,0,7.2,EH,1741373642
235,punta arenas,-53.15,-70.9167,12.06,58,75,11.32,CL,1741373643
236,priozersk,61.0393,30.1291,1.72,86,96,2.43,RU,1741373644
237,labrador city,52.9463,-66.9114,-7.05,93,100,5.66,CA,1741373647
238,general pinedo,-27.3167,-61.2833,41.66,18,48,10.04,AR,1741373648
239,merida,20.9667,-89.6167,34.01,43,20,5.66,MX,1741373649
240,sao geraldo do araguaia,-6.4006,-48.555,27.16,86,100,1.86,BR,1741373650
241,bikenibeu village,1.3673,173.1241,26.98,89,20,4.63,KI,1741373652
242,hillsboro,45.5229,-122.9898,10.04,75,54,1.34,US,1741373370
243,ormara,25.2088,64.6357,26.84,47,0,3.8,PK,1741373654
244,berezovo,63.9381,65.0419,-12.53,95,100,5.57,RU,1741373655
245,emerald,-23.5333,148.1667,23.88,41,0,3.96,AU,1741373657
246,hasaki,35.7333,140.8333,5.45,56,100,7.48,JP,1741373659
247,nova sintra,14.8667,-24.7167,20.99,71,0,8.03,CV,1741373660
248,haiku-pauwela,20.9219,-156.3051,24.03,81,40,12.96,US,1741373661
249,deschutes river woods,43.9915,-121.3584,7.46,39,100,1.79,US,1741373662
250,twin falls,42.3505,-114.6445,2.18,64,100,7.2,US,1741373663
251,tazacorte,28.629,-17.9293,18.54,78,75,2.24,ES,1741373664
252,prado,-17.3411,-39.2208,27.6,69,25,4.08,BR,1741373666
253,keflavik,64.0049,-22.5624,1.24,93,20,1.54,IS,1741373667
254,puerto baquerizo moreno,-0.9,-89.6,28.55,79,75,3.09,EC,1741373668
255,egremont,54.4794,-3.5276,12.49,79,100,3.18,GB,1741373670
256,ancud,-41.8697,-73.8203,12.43,84,56,7.03,CL,1741373671
257,tofol,5.3248,163.0078,27.97,74,44,9.24,FM,1741373672
258,sarlat-la-caneda,44.889,1.2166,10.88,71,54,5.68,FR,1741373673
259,morant bay,17.8815,-76.4093,28.72,67,32,5.51,JM,1741373674
260,lesina,41.8594,15.3527,10.88,74,100,1.6,IT,1741373675
261,ntchisi,-13.5278,33.9149,16.26,97,42,1.22,MW,1741373676
262,kenai,60.5544,-151.2583,-0.48,89,0,1.54,US,1741373677
263,muynoq,43.7683,59.0214,6.88,85,93,9.02,UZ,1741373678
264,glace bay,46.1969,-59.957,2.77,95,100,9.88,CA,1741373679
265,muroto-misakicho,33.2833,134.15,7.33,59,100,4.07,JP,1741373680
266,sarmiento,-45.5882,-69.07,18.9,30,100,2.79,AR,1741373681
267,carauari,-4.8828,-66.8958,25.78,85,100,0.68,BR,1741373683
268,nowogrod bobrzanski,51.7986,15.2352,12.91,65,0,2.35,PL,1741373684
269,lihue,21.9789,-159.3672,22.08,83,100,8.23,US,1741373685
270,tura,25.5198,90.2201,17.15,34,0,1.83,IN,1741373686
271,floro,61.5996,5.0328,4.98,87,40,2.57,NO,1741373687
272,xilin hot,43.9667,116.0333,-5.82,77,12,1.48,CN,1741373688
273,olyokminsk,60.3736,120.4264,-13.7,98,100,1.43,RU,1741373689
274,dudinka,69.4058,86.1778,-31.58,100,66,2.38,RU,1741373690
275,gemena,3.25,19.7667,23.46,84,100,2.64,CD,1741373692
276,angaur state,6.906,134.13,27.63,80,100,8.82,PW,1741373694
277,enewetak,11.3474,162.3373,26.81,81,7,9.76,MH,1741373695
278,buguma,4.7341,6.8635,29.13,72,4,4.77,NG,1741373696
279,anacapri,40.5558,14.2136,13.58,47,100,1.54,IT,1741373697
280,souillac,-20.5167,57.5167,28.21,83,40,5.14,MU,1741373698
281,kaithal,29.8,76.3833,14.42,37,0,2.5,IN,1741373699
282,el granada,37.5027,-122.4694,15.66,69,0,7.2,US,1741373700
283,ghat,24.9647,10.1728,24.14,30,100,2.05,LY,1741373701
284,sooke,48.3746,-123.7276,8.38,88,100,2.57,CA,1741373545
285,fisterra,42.9049,-9.2629,12.47,84,100,15.55,ES,1741373703
286,agat village,13.3886,144.6585,25.76,87,0,0.0,GU,1741373704
287,baardheere,2.3446,42.2764,30.53,60,99,8.55,SO,1741373705
288,praia da vitoria,38.7333,-27.0667,10.14,71,75,14.94,PT,1741373707
289,rio grande,-32.035,-52.0986,30.54,51,4,7.02,BR,1741373708
290,whitehorse,60.7161,-135.0538,-4.43,62,100,0.0,CA,1741373423
291,vernal,40.4555,-109.5287,3.84,75,75,3.09,US,1741373710
292,tateyama,34.9833,139.8667,4.3,58,100,3.72,JP,1741373711
293,arraial do cabo,-22.9661,-42.0278,31.98,62,20,5.66,BR,1741373712
294,luanda,-8.8368,13.2343,25.91,83,100,1.88,AO,1741373713
295,cabo san lucas,22.8909,-109.9124,25.17,43,0,3.6,MX,1741372838
296,yakeshi,49.2833,120.7333,-21.62,100,100,1.2,CN,1741373716
297,moshi,-3.35,37.3333,23.11,73,68,2.42,TZ,1741373717
298,socorro,31.6546,-106.3033,18.6,15,0,7.67,US,1741373719
299,gadzhiyevo,69.2551,33.3362,-9.37,97,83,3.36,RU,1741373720
300,corinto,37.9407,22.9573,12.72,60,34,0.56,GR,1741373721
301,mirnyy,62.5353,113.9611,-17.59,98,100,1.87,RU,1741373723
302,margate,51.3813,1.3862,11.6,68,69,4.01,GB,1741373724
303,marsh harbour,26.5412,-77.0636,21.94,51,15,1.93,BS,1741373725
304,devonport,-41.1667,146.35,15.85,94,64,2.9,AU,1741373726
305,manokwari,-0.8667,134.0833,25.71,77,71,1.07,ID,1741373727
306,kapuskasing,49.4169,-82.4331,-7.95,73,100,6.17,CA,1741373728
307,pampas,-12.4,-74.9,12.3,66,99,3.26,PE,1741373730
308,slantsy,59.1182,28.0914,3.01,84,13,2.19,RU,1741373731
309,kopong,-24.4833,25.8833,25.64,53,32,2.82,BW,1741373732
310,hadibu,12.65,54.0333,24.73,78,96,4.61,YE,1741373733
311,rybinsk,58.0446,38.8426,-1.13,87,85,3.97,RU,1741373734
312,olovyannaya,50.95,115.5667,-22.17,100,100,1.31,RU,1741373735
313,anadyr,64.75,177.4833,-27.72,76,0,0.0,RU,1741373737
314,ilulissat,69.2167,-51.1,-13.99,85,75,2.06,GL,1741373738
315,izluchinsk,60.9794,76.9242,-7.99,95,98,3.95,RU,1741373739
316,qui nhon,13.7667,109.2333,22.37,78,100,5.24,VN,1741373741
317,uliastay,47.7417,96.8444,-13.28,67,100,4.73,MN,1741373742
318,remire-montjoly,4.9167,-52.2667,30.02,70,75,7.72,GF,1741373743
319,portland,45.5234,-122.6762,9.89,76,62,6.71,US,1741372967
320,romsey,50.9891,-1.4999,11.98,86,75,2.57,GB,1741373745
321,kulim,5.365,100.5618,25.75,91,97,1.93,MY,1741373746
322,canico,32.6333,-16.85,17.62,80,40,2.68,PT,1741373747
323,motueka,-41.1333,173.0167,15.61,85,100,1.78,NZ,1741373748
324,toliara,-23.35,43.6667,27.51,86,3,1.44,MG,1741373749
325,vilyuysk,63.7553,121.6247,-25.32,99,100,1.84,RU,1741373750
326,kassala,15.451,36.4,26.87,13,80,5.14,SD,1741373751
327,new norfolk,-42.7826,147.0587,12.62,98,20,0.96,AU,1741373753
328,port sudan,19.6175,37.2164,22.29,57,0,4.92,SD,1741373754
329,tual,-5.6667,132.75,28.31,77,100,2.96,ID,1741373755
330,atar,20.5169,-13.0499,27.42,15,0,3.93,MR,1741373756
331,capayan,-28.761,-66.0502,39.23,27,45,1.79,AR,1741373757
332,butembo,0.15,29.2833,18.69,63,93,1.25,CD,1741373758
333,broken hill,-31.95,141.4333,21.52,33,0,6.13,AU,1741373759
334,yeniseysk,58.4497,92.1703,-4.36,96,100,3.05,RU,1741373760
335,newman,37.3138,-121.0208,13.92,65,0,6.71,US,1741373761
336,varva,50.495,32.7197,9.09,68,100,2.48,UA,1741373764
337,inirida,3.8653,-67.9239,30.01,63,100,1.79,CO,1741373765
338,isafjordur,66.0755,-23.124,-0.16,81,91,2.88,IS,1741373766
339,qulsary,46.9531,54.0198,2.55,96,100,5.9,KZ,1741373767
340,geraldton,-28.7667,114.6,22.23,68,75,7.2,AU,1741373768
341,gradiska,45.1411,17.25,9.14,60,9,0.94,BA,1741373769
342,ad dabbah,18.05,30.95,21.06,21,0,4.91,SD,1741373770
343,weno,7.4515,151.8468,28.1,73,51,8.65,FM,1741373771
344,chibougamau,49.9168,-74.3659,-13.21,78,100,7.72,CA,1741373772
345,san patricio,28.017,-97.5169,24.97,51,100,4.08,US,1741373773
346,northam,51.0333,-4.2167,11.0,90,100,1.34,GB,1741373774
347,cabedelo,-6.9811,-34.8339,30.37,72,0,6.15,BR,1741373775
348,akola,20.7333,77.0,26.05,15,0,1.59,IN,1741373777
349,mombetsu,44.3525,143.3525,-10.13,84,22,2.95,JP,1741373778
350,tarko-sale,64.9225,77.785,-14.61,94,49,6.69,RU,1741373779
351,coachella,33.6803,-116.1739,18.16,41,3,1.34,US,1741373780
352,an nuhud,12.7,28.4333,22.32,18,81,6.34,SD,1741373781
353,bel ombre,-4.6167,55.4167,28.91,74,20,2.57,SC,1741373782
354,qusmuryn,52.4503,64.6311,-8.0,97,97,1.68,KZ,1741373783
355,belen,36.4891,36.2233,10.08,38,0,0.0,TR,1741373784
356,port lincoln,-34.7333,135.8667,20.47,86,27,4.08,AU,1741373785
357,daru,-9.0763,143.2092,26.49,84,99,0.89,PG,1741373786
358,nar'yan-mar,67.6713,53.087,-20.65,99,16,3.3,RU,1741373787
359,tayaman,13.2295,120.5726,25.35,78,21,3.03,PH,1741373788
360,san luis de la loma,17.2706,-100.8939,30.13,44,0,3.61,MX,1741373789
361,port alfred,-33.5906,26.891,20.66,99,100,4.66,ZA,1741373791
362,lichinga,-13.3128,35.2406,21.05,83,20,2.57,MZ,1741373792
363,nicoya,10.1483,-85.452,37.1,21,18,3.3,CR,1741373793
364,shchigry,51.8755,36.9043,6.73,88,7,3.75,RU,1741373794
365,oamaru,-45.0784,170.9801,10.21,91,100,2.49,NZ,1741373795
